Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,A6,Rothia 1,No treatment,3,20.5,0.155
240214,A6,Rothia 1,No treatment,3,21,0.155
240214,A6,Rothia 1,No treatment,3,21.5,0.156
240214,A6,Rothia 1,No treatment,3,22,0.157
240214,A6,Rothia 1,No treatment,3,22.5,0.158
240214,A6,Rothia 1,No treatment,3,23,0.159
240214,A6,Rothia 1,No treatment,3,23.5,0.159
240214,A6,Rothia 1,No treatment,3,24,0.161
240214,A7,Rothia 3,No treatment,1,0,0
240214,A7,Rothia 3,No treatment,1,0.5,0.003
240214,A7,Rothia 3,No treatment,1,1,0.008
240214,A7,Rothia 3,No treatment,1,1.5,0.013
240214,A7,Rothia 3,No treatment,1,2,0.02
240214,A7,Rothia 3,No treatment,1,2.5,0.027
240214,A7,Rothia 3,No treatment,1,3,0.035
240214,A7,Rothia 3,No treatment,1,3.5,0.041
240214,A7,Rothia 3,No treatment,1,4,0.046
240214,A7,Rothia 3,No treatment,1,4.5,0.052
240214,A7,Rothia 3,No treatment,1,5,0.056
240214,A7,Rothia 3,No treatment,1,5.5,0.06
240214,A7,Rothia 3,No treatment,1,6,0.064
240214,A7,Rothia 3,No treatment,1,6.5,0.067
240214,A7,Rothia 3,No treatment,1,7,0.068
240214,A7,Rothia 3,No treatment,1,7.5,0.07
240214,A7,Rothia 3,No treatment,1,8,0.077
240214,A7,Rothia 3,No treatment,1,8.5,0.082
240214,A7,Rothia 3,No treatment,1,9,0.086
240214,A7,Rothia 3,No treatment,1,9.5,0.088
240214,A7,Rothia 3,No treatment,1,10,0.091
240214,A7,Rothia 3,No treatment,1,10.5,0.094
240214,A7,Rothia 3,No treatment,1,11,0.096
240214,A7,Rothia 3,No treatment,1,11.5,0.099
240214,A7,Rothia 3,No treatment,1,12,0.102
