"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"14HM330.M",0,6.67,0.35,35,1102.5,260,683.4,107.5,78.3,906.7,617.5,1966.6,97.1,96.1,22.8,2352.5,90.8,534.9,26.6,7.1,218.7,14.9,9219.2,2417.7,8998.4
"14HM331.M",1,8.67,0.46,2453.9,1018.5,96.9,606.2,454.3,411.2,1583.6,1493.5,1751.9,95,64.5,85,2205.6,72.5,309.3,117.8,113.4,380.7,112.7,13426.3,2772.3,12857.7
"14HM332.M",1,7.38,0.39,1331,1741.8,163.4,1896.9,1591.8,69.7,465,257.9,1916.9,133.6,163.1,16,3484.3,74.6,750,31.1,10.5,184.4,19.2,14301,4052.8,15770
"14HM333.M",1,7.92,0.42,2881.5,452.2,559.3,558.3,954.1,57.1,1148,1108.7,2577.5,106.2,112.7,37.1,2036.1,76.5,742.8,34,27.2,326.7,10,13806,2924.1,13521.7
"14HM334.M",1,2.92,0.15,10480.3,747.3,229.4,1931.8,689.5,97.2,357.3,661.6,1419.6,37.1,40.6,53,1243.2,41.1,169.2,29,45.3,317.2,29.5,18619.1,3154.3,17648
"14HM335.M",1,7.09,0.37,2449.7,1445.2,176.7,1112.4,3516.8,25.3,416.2,543.1,1503.6,72.8,120.6,14.8,2588.4,35,730.4,19.1,27.3,203.1,3.9,15004.4,3147.9,18501.6
"14HM336.M",NA,9.77,0.51,999.1,1002.3,844.5,574.1,1051.6,719.3,622.1,393.9,2545.5,74.9,75.1,115.1,1787.2,131.6,192.1,126.9,42.2,937.5,231.4,12466.5,4205.6,11842.1
"14HM337.M",1,5.65,0.3,5464.5,310.3,431.9,683.3,477.4,158.1,1774.7,1168.2,2318.6,86.7,102.2,100.1,1619.6,91.7,351.1,101.6,22.6,382.4,70.1,15715.1,2650.9,14071.4
"14HM338.M",0,5.84,0.31,73.8,273.4,57,1245.7,107.9,38.8,1190.2,324.8,2897,129.2,162.4,15.3,1490.5,65.5,602.4,36.3,18.3,401.7,25.2,9155.5,3520.9,7369.6
"14HM339.M",1,3.65,0.19,8910.4,801.9,116.5,2127.3,1135.6,54,452.1,1015.2,774,81.1,90,22.4,1919.2,24.2,633.7,15.7,9.7,102.4,8.1,18293.6,3782.2,17829.7
